"Wavelength";"EGFP 2P"
610;0,3855
611;0,3816
612;0,3792
613;0,3785
614;0,3792
615;0,3867
616;0,3926
617;0,3914
618;0,3896
619;0,3911
620;0,3941
621;0,3984
622;0,4045
623;0,414
624;0,4231
625;0,4262
626;0,4269
627;0,4295
628;0,4326
629;0,4353
630;0,4382
631;0,4418
632;0,4433
633;0,4416
634;0,4412
635;0,4445
636;0,4494
637;0,4567
638;0,4636
639;0,4662
640;0,4663
641;0,4651
642;0,4627
643;0,4585
644;0,4564
645;0,4603
646;0,4676
647;0,4773
648;0,4889
649;0,5002
650;0,5098
651;0,5167
652;0,5219
653;0,5255
654;0,5282
655;0,5314
656;0,5342
657;0,538
658;0,5412
659;0,5426
660;0,5408
661;0,5362
662;0,5283
663;0,5173
664;0,5039
665;0,4893
666;0,4732
667;0,4572
668;0,4422
669;0,4293
670;0,4169
671;0,4049
672;0,3915
673;0,3752
674;0,3568
675;0,3365
676;0,314
677;0,2899
678;0,2661
679;0,2439
680;0,2238
681;0,2066
682;0,1916
683;0,1766
684;0,1626
685;0,1499
686;0,1382
687;0,1262
688;0,1151
689;0,1054
690;0,0966
691;0,0879
692;0,0805
693;0,0743
694;0,0687
695;0,0626
696;0,0572
697;0,0527
698;0,0493
699;0,0467
700;0,0447
701;0,0431
702;0,042
703;0,0413
704;0,0411
705;0,0414
706;0,042
707;0,0424
708;0,0429
709;0,0436
710;0,0444
711;0,045
712;0,0456
713;0,046
714;0,0465
715;0,0472
716;0,0482
717;0,0495
718;0,0509
719;0,0525
720;0,0539
721;0,0547
722;0,0552
723;0,0558
724;0,0564
725;0,057
726;0,0577
727;0,0586
728;0,0597
729;0,0608
730;0,0621
731;0,0638
732;0,0657
733;0,067
734;0,0684
735;0,071
736;0,0742
737;0,0769
738;0,0794
739;0,0822
740;0,0848
741;0,0872
742;0,09
743;0,0934
744;0,0964
745;0,0988
746;0,1008
747;0,1019
748;0,1031
749;0,1053
750;0,1087
751;0,1144
752;0,1213
753;0,1271
754;0,1314
755;0,1345
756;0,1371
757;0,139
758;0,142
759;0,1503
760;0,1588
761;0,1623
762;0,1628
763;0,1615
764;0,1584
765;0,1544
766;0,1521
767;0,1539
768;0,1565
769;0,1583
770;0,1609
771;0,165
772;0,1695
773;0,1731
774;0,176
775;0,1781
776;0,1811
777;0,1865
778;0,1944
779;0,2055
780;0,2168
781;0,2252
782;0,2317
783;0,2367
784;0,2411
785;0,2456
786;0,2504
787;0,2583
788;0,2645
789;0,2633
790;0,2583
791;0,2521
792;0,2473
793;0,246
794;0,2503
795;0,2638
796;0,2783
797;0,2861
798;0,2908
799;0,294
800;0,297
801;0,3035
802;0,3105
803;0,3124
804;0,3104
805;0,3077
806;0,3066
807;0,3063
808;0,3106
809;0,326
810;0,3417
811;0,3476
812;0,3505
813;0,3542
814;0,356
815;0,3509
816;0,3501
817;0,367
818;0,3907
819;0,4132
820;0,4324
821;0,4421
822;0,4429
823;0,4361
824;0,4317
825;0,4361
826;0,4446
827;0,4584
828;0,4722
829;0,4777
830;0,4822
831;0,4926
832;0,5042
833;0,5139
834;0,5223
835;0,5298
836;0,5321
837;0,5254
838;0,5185
839;0,5186
840;0,5225
841;0,5278
842;0,5355
843;0,5483
844;0,562
845;0,5695
846;0,5758
847;0,5837
848;0,5933
849;0,6076
850;0,6259
851;0,6464
852;0,663
853;0,6694
854;0,6725
855;0,6781
856;0,6884
857;0,7042
858;0,7226
859;0,7442
860;0,7651
861;0,7801
862;0,7923
863;0,8036
864;0,8112
865;0,8147
866;0,8174
867;0,8234
868;0,8281
869;0,8285
870;0,8265
871;0,8234
872;0,8205
873;0,822
874;0,8235
875;0,8183
876;0,8091
877;0,7989
878;0,7919
879;0,7929
880;0,8003
881;0,8121
882;0,8208
883;0,8186
884;0,815
885;0,8186
886;0,8266
887;0,8338
888;0,8398
889;0,8471
890;0,8538
891;0,8551
892;0,8577
893;0,8685
894;0,8781
895;0,8792
896;0,8798
897;0,8863
898;0,8932
899;0,8986
900;0,9031
901;0,9029
902;0,9002
903;0,901
904;0,9051
905;0,9109
906;0,9163
907;0,9201
908;0,9197
909;0,9129
910;0,9077
911;0,9081
912;0,9114
913;0,9184
914;0,9289
915;0,9414
916;0,9551
917;0,97
918;0,9813
919;0,983
920;0,9804
921;0,9786
922;0,9776
923;0,9794
924;0,9837
925;0,9914
926;0,9977
927;1
928;0,9997
929;0,9977
930;0,9923
931;0,9844
932;0,9721
933;0,9515
934;0,9286
935;0,9109
936;0,8982
937;0,892
938;0,8896
939;0,8879
940;0,8833
941;0,8713
942;0,8594
943;0,8539
944;0,8502
945;0,8439
946;0,8348
947;0,8243
948;0,8124
949;0,7993
950;0,7856
951;0,7704
952;0,7521
953;0,7313
954;0,7127
955;0,6996
956;0,6901
957;0,685
958;0,6791
959;0,6672
960;0,6525
961;0,637
962;0,6202
963;0,6006
964;0,5822
965;0,5692
966;0,5602
967;0,5556
968;0,5538
969;0,5527
970;0,5488
971;0,5397
972;0,527
973;0,5095
974;0,4903
975;0,4722
976;0,4565
977;0,446
978;0,4406
979;0,4405
980;0,4411
981;0,4384
982;0,432
983;0,4179
984;0,4019
985;0,3903
986;0,3821
987;0,3781
988;0,3749
989;0,3687
990;0,3585
991;0,3442
992;0,33
993;0,3186
994;0,3079
995;0,2973
996;0,2853
997;0,271
998;0,2568
999;0,2435
1000;0,2305
1001;0,2183
1002;0,2065
1003;0,1943
1004;0,1827
1005;0,1718
1006;0,1612
1007;0,1503
1008;0,1403
1009;0,1313
1010;0,1233
1011;0,1165
1012;0,1107
1013;0,1051
1014;0,0998
1015;0,0937
1016;0,0874
1017;0,0811
1018;0,0755
1019;0,0711
1020;0,0675
1021;0,0645
1022;0,0614
1023;0,0577
1024;0,054
1025;0,0508
1026;0,0478
1027;0,045
1028;0,0423
1029;0,0395
1030;0,0366
1031;0,0337
1032;0,031
1033;0,0286
1034;0,0265
1035;0,0246
1036;0,0228
1037;0,0213
1038;0,0198
1039;0,0184
1040;0,0171
1041;0,0157
1042;0,0144
1043;0,013
1044;0,0118
1045;0,0108
1046;0,01
1047;0,0091
1048;0,0084
1049;0,0076
1050;0,007
1051;0,0063
1052;0,0058
1053;0,0053
1054;0,0048
1055;0,0045
1056;0,0041
1057;0,0038
1058;0,0034
1059;0,0031
1060;0,0028
1061;0,0026
1062;0,0025
1063;0,0025
1064;0,0025
1065;0,0023
1066;0,0022
1067;0,0022
1068;0,0023
1069;0,0023
1070;0,0023
1071;0,0023
1072;0,0022
1073;0,0019
1074;0,0017
1075;0,0015
1076;0,0013
1077;0,0012
1078;0,0011
1079;0,0012
1080;0,0012
1081;0,0013
1082;0,0013
1083;0,0012
1084;0,0012
1085;0,0012
1086;0,0013
1087;0,0015
1088;0,0017
1089;0,0018
1090;0,002
1091;0,0026
1092;0,003
1093;0,0036
1094;0,0042
1095;0,0048